reads,sketch_id,shared_hashes,mlst,meca,pvl,scc,clindamycin,rifampicin,ciprofloxacin,vancomycin,tetracycline,mupirocin,gentamicin,trimethoprim,penicillin,methicillin,erythromycin,fusidicacid,barcode,resolution,basecall_method
2917,SAMEA4547347,1837,ST228,MRSA,PVL-,SCCmec-I,R,R,R,S,S,S,R,S,R,R,R,S,73,10k,fast
2917,SAMEA24667168,1836,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,73,10k,fast
2917,SAMEA2384658,1832,ST1011,MRSA,PVL*,SCCmec-II,R,S,R,S,S,R,S,S,R,R,R,S,73,10k,fast
2917,SAMEA2041827,1831,ST5,MRSA,PVL*,SCCmec-V,S,S,S,S,S,S,S,S,R,R,S,S,73,10k,fast
2917,SAMEA3717850,1852,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,73,10k,fast
2917,SAMEA4547347,1837,ST228,MRSA,PVL-,SCCmec-I,R,R,R,S,S,S,R,S,R,R,R,S,73,10k,fast
2917,SAMEA24667168,1836,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,73,10k,fast
2917,SAMEA2384658,1832,ST1011,MRSA,PVL*,SCCmec-II,R,S,R,S,S,R,S,S,R,R,R,S,73,10k,fast
2917,SAMEA2041827,1831,ST5,MRSA,PVL*,SCCmec-V,S,S,S,S,S,S,S,S,R,R,S,S,73,10k,fast
1000,SAMEA3890923,2872,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
1000,SAMEA3401179,2868,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
1000,SAMEA3401342,2868,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
1000,SAMEA3890604,2865,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
1000,SAMEA3890854,2865,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
2000,SAMEA3890604,2510,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
2000,SAMEA90320668,2507,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
2000,SAMEA90262168,2494,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
2000,SAMEA3401342,2492,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
2000,SAMEA3401422,2483,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
3000,SAMEA90320668,2142,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
3000,SAMEA3890604,2137,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
3000,SAMEA3401342,2130,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
3000,SAMEA3890695,2126,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
3000,SAMEA3890834,2126,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
4000,SAMEA90320668,1850,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
4000,SAMEA104325290,1846,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,S,S,R,R,S,S,74,10k,fast
4000,SAMEA3890834,1845,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
4000,SAMEA3890695,1843,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
4000,SAMEA3890946,1843,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
5000,SAMEA104325290,1657,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,S,S,R,R,S,S,74,10k,fast
5000,SAMEA3890949,1648,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
5000,SAMEA3890695,1645,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
5000,SAMEA90320668,1644,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
5000,SAMEA3890834,1642,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
6000,SAMEA104325290,1480,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,S,S,R,R,S,S,74,10k,fast
6000,SAMEA3401436,1479,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
6000,SAMEA3890834,1476,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
6000,SAMEA3890444,1475,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
6000,SAMEA3890695,1475,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
7000,SAMEA104325290,1340,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,S,S,R,R,S,S,74,10k,fast
7000,SAMEA3401422,1337,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
7000,SAMEA3401436,1337,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
7000,SAMEA90320668,1333,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
7000,SAMEA3890444,1332,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
8000,SAMEA104325290,1238,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,S,S,R,R,S,S,74,10k,fast
8000,SAMEA3890444,1234,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
8000,SAMEA3401436,1227,ST45,MRSA,PVL-,Vc,R,S,R,S,R,S,R,S,R,R,R,S,74,10k,fast
8000,SAMEA90320668,1226,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
8000,SAMEA3890834,1225,ST45,MRSA,PVL-,Vc,S,S,R,S,R,S,R,S,R,R,S,S,74,10k,fast
1000,SAMN07460120,2763,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
1000,SAMN07460121,2762,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
1000,SAMEA4469743,2761,ST4682,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
1000,SAMN07460115,2758,ST5,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
1000,SAMN07460119,2756,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
2000,SAMN07460120,2270,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
2000,SAMN07460121,2259,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
2000,SAMN07460115,2255,ST5,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
2000,SAMN07460119,2255,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
2000,SAMEA4469743,2245,ST4682,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
3000,SAMN07460120,1819,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
3000,SAMN07460121,1819,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
3000,SAMN07460115,1804,ST5,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
3000,SAMN07460110,1797,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
3000,SAMEA4469743,1795,ST4682,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
4000,SAMN07460110,1511,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
4000,SAMN07460115,1510,ST5,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
4000,SAMN07460120,1510,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
4000,SAMN07460121,1510,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
4000,SAMEA4469743,1506,ST4682,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
5000,SAMN07460115,1310,ST5,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
5000,SAMN07460110,1307,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
5000,SAMEA103891302,1306,ST5,MRSA,PVL*,SCCmec-IX,S,S,R,S,S,S,R,r,R,R,S,S,81,10k,fast
5000,SAMN07460121,1306,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
5000,SAMN07460120,1305,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
6000,SAMEA103891302,1171,ST5,MRSA,PVL*,SCCmec-IX,S,S,R,S,S,S,R,r,R,R,S,S,81,10k,fast
6000,SAMEA3717850,1170,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,81,10k,fast
6000,SAMN07460115,1163,ST5,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
6000,SAMN07460120,1163,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
6000,SAMN07460124,1163,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
7000,SAMEA3717850,1053,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,81,10k,fast
7000,SAMEA103891302,1050,ST5,MRSA,PVL*,SCCmec-IX,S,S,R,S,S,S,R,r,R,R,S,S,81,10k,fast
7000,SAMEA2228865,1043,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,81,10k,fast
7000,SAMN07460124,1043,ST5,MRSA,PVL+,SCCmec-II,S,S,S,S,S,S,S,R,R,R,S,S,81,10k,fast
7000,SAMN06847400,1041,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,81,10k,fast
8000,SAMEA3717850,978,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,81,10k,fast
8000,SAMEA2228865,968,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,81,10k,fast
8000,SAMEA103891302,963,ST5,MRSA,PVL*,SCCmec-IX,S,S,R,S,S,S,R,r,R,R,S,S,81,10k,fast
8000,SAMEA3401100,960,ST1178,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,81,10k,fast
8000,SAMEA103891526,958,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,81,10k,fast
1000,SAMEA1903299,2824,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
1000,SAMEA1557168,2816,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
1000,SAMEA1557202,2815,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
1000,SAMEA1903812,2815,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
1000,SAMEA1903821,2806,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,R,S,S,R,R,S,S,82,10k,fast
2000,SAMEA1557168,2183,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
2000,SAMEA2059715,2180,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
2000,SAMEA1557202,2175,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
2000,SAMEA1557125,2170,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
2000,SAMEA1571811,2169,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
3000,SAMEA2059715,1760,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
3000,SAMEA1557168,1752,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
3000,SAMEA1557095,1749,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
3000,SAMEA1557257,1743,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
3000,SAMEA1571811,1743,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
4000,SAMEA2059715,1437,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
4000,SAMEA1557257,1424,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
4000,SAMEA1557168,1420,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
4000,SAMEA1557091,1414,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
4000,SAMEA1557095,1414,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
5000,SAMEA2059715,1265,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
5000,SAMEA1557257,1249,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
5000,SAMEA1557168,1248,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
5000,SAMEA1557095,1238,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
5000,SAMEA1557226,1238,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
6000,SAMEA2059715,1112,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
6000,SAMEA1557168,1106,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
6000,SAMEA1557257,1101,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
6000,SAMEA2385288,1093,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
6000,SAMEA1557124,1090,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
7000,SAMEA2059715,1003,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
7000,SAMEA1557168,999,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
7000,SAMEA1557257,982,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
7000,SAMEA2385288,982,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
7000,SAMEA1557124,978,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
8000,SAMEA1557168,920,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
8000,SAMEA2059715,916,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
8000,SAMEA1557124,911,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
8000,SAMEA1557202,911,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
8000,SAMEA2385288,909,ST93,MRSA,PVL+,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,82,10k,fast
1000,SAMN06847498,2826,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
1000,SAMEA104188233,2824,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
1000,SAMEA2744141,2822,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
1000,SAMEA3924017,2817,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
1000,SAMN08815413,2816,ST526,MRSA,PVL*,SCCmec-II,R,S,S,S,S,S,S,S,R,R,R,R,89,10k,fast
2000,SAMN06847400,2186,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
2000,SAMN06847498,2185,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
2000,SAMEA2742967,2184,ST3772,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
2000,SAMEA3717850,2184,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
2000,SAMEA104188265,2183,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
3000,SAMEA3717850,1834,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
3000,SAMN06847400,1813,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
3000,SAMEA4387526,1812,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,R,89,10k,fast
3000,SAMEA24667168,1806,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,89,10k,fast
3000,SAMEA3717135,1806,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
4000,SAMEA3717850,1526,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
4000,SAMN06847400,1511,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
4000,SAMEA3717135,1507,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
4000,SAMEA2743515,1502,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
4000,SAMEA4547069,1502,ST228,MRSA,PVL*,SCCmec-I,R,S,R,S,S,S,R,S,R,R,R,S,89,10k,fast
5000,SAMEA3717850,1325,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
5000,SAMN06847400,1325,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
5000,SAMEA103891302,1323,ST5,MRSA,PVL*,SCCmec-IX,S,S,R,S,S,S,R,r,R,R,S,S,89,10k,fast
5000,SAMEA2041827,1319,ST5,MRSA,PVL*,SCCmec-V,S,S,S,S,S,S,S,S,R,R,S,S,89,10k,fast
5000,SAMEA103891310,1314,ST5,MRSA,PVL*,SCCmec-IX,S,S,R,S,S,S,R,S,R,R,S,S,89,10k,fast
6000,SAMEA3717850,1190,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
6000,SAMEA103891302,1182,ST5,MRSA,PVL*,SCCmec-IX,S,S,R,S,S,S,R,r,R,R,S,S,89,10k,fast
6000,SAMN06847400,1179,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
6000,SAMN05336625,1178,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,89,10k,fast
6000,SAMEA2041827,1177,ST5,MRSA,PVL*,SCCmec-V,S,S,S,S,S,S,S,S,R,R,S,S,89,10k,fast
7000,SAMEA3717850,1101,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
7000,SAMEA2827000,1089,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,89,10k,fast
7000,SAMEA103891302,1088,ST5,MRSA,PVL*,SCCmec-IX,S,S,R,S,S,S,R,r,R,R,S,S,89,10k,fast
7000,SAMN06847400,1088,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
7000,SAMEA24667168,1086,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,89,10k,fast
8000,SAMEA3717850,991,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
8000,SAMEA2228865,983,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
8000,SAMN06847400,977,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
8000,SAMEA2827000,973,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,89,10k,fast
8000,SAMEA103891526,972,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,89,10k,fast
1000,SAMEA2663899,2736,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,90,10k,fast
1000,SAMEA2665050,2702,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,90,10k,fast
1000,SAMEA2042065,2694,ST1,MRSA,PVL*,SCCmec-III,R,S,S,S,R,S,S,S,R,R,R,S,90,10k,fast
1000,SAMEA2383994,2694,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,90,10k,fast
1000,SAMEA3448998,2693,ST1,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,90,10k,fast
2000,SAMEA3919890,2115,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,90,10k,fast
2000,SAMN08815344,2105,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,90,10k,fast
2000,SAMEA2663899,2103,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,90,10k,fast
2000,SAMEA103891351,2100,ST1,MRSA,PVL*,SCCmec-III,R,S,S,S,R,S,S,S,R,R,R,S,90,10k,fast
2000,SAMN05345697,2100,ST3,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,90,10k,fast
3000,SAMN08815344,1753,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,90,10k,fast
3000,SAMEA1317313,1744,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,R,90,10k,fast
3000,SAMEA3919890,1741,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,90,10k,fast
3000,SAMN06327964,1741,ST1,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,R,90,10k,fast
3000,SAMEA2383994,1739,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,90,10k,fast
4000,SAMN08111965,1464,ST1,MSSA,PVL+,-,S,S,S,S,S,S,S,S,S,S,S,r,90,10k,fast
4000,SAMEA1572357,1451,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,90,10k,fast
4000,SAMEA2383994,1451,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,90,10k,fast
4000,SAMEA3181497,1450,ST474,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,90,10k,fast
4000,SAMEA3217779,1445,ST474,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,90,10k,fast
5000,SAMN06640057,1221,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,S,S,S,S,90,10k,fast
5000,SAMN08111965,1221,ST1,MSSA,PVL+,-,S,S,S,S,S,S,S,S,S,S,S,r,90,10k,fast
5000,SAMEA4547404,1220,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,90,10k,fast
5000,SAMEA3181456,1219,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,90,10k,fast
5000,SAMEA3181497,1219,ST474,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,90,10k,fast
6000,SAMEA3181497,1104,ST474,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,90,10k,fast
6000,SAMEA3181456,1101,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,90,10k,fast
6000,SAMEA2383919,1100,ST1908,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,90,10k,fast
6000,SAMEA4547404,1099,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,90,10k,fast
6000,SAMEA2827033,1098,ST1,MSSA,PVL*,-,R,S,S,S,R,S,S,S,R,S,R,S,90,10k,fast
7000,SAMEA4547404,1001,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,90,10k,fast
7000,SAMEA3181456,994,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,90,10k,fast
7000,SAMEA4387608,993,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,R,90,10k,fast
7000,SAMEA4387630,993,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,S,S,S,R,90,10k,fast
7000,SAMN06327429,991,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,R,90,10k,fast
8000,SAMEA3717041,914,ST1,MRSA,PVL*,SCCmec-III,R,S,S,S,R,S,S,S,R,R,R,S,90,10k,fast
8000,SAMEA4547404,914,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,90,10k,fast
