pubmlst_id,n_reads,st,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL
38704,6000,59,99.90,19,23*,15,2,19,20,15
38704,7000,59,100.00,19,23,15,2,19,20,15
38704,8000,59,100.00,19,23,15,2,19,20,15
38705,1000,ND,85.25,6*,817*,6*,2*,969*,14*,5*
38705,2000,8117,98.07,6*,5,6,2*,969,14*,5*
38705,3000,8117,99.20,6*,5,6,2,969,14*,5
38705,4000,8117,99.74,6*,5,6,2,969,14*,5
38705,5000,8117,99.87,6,5,6,2,969,14*,5
38705,6000,8117,100.00,6,5,6,2,969,14,5
38705,7000,8117,100.00,6,5,6,2,969,14,5
38705,8000,8117,100.00,6,5,6,2,969,14,5
38706,1000,ND,59.34,798*,174*,297*,628*,4*,131*,653*
38706,2000,ND,85.71,767*,3*,297*,1*,4*,131*,96*
38706,3000,8,97.39,3*,3*,1,1,4,4*,3*
38706,4000,8,99.16,3,3,1,1,4,4*,3*
38706,5000,8,99.77,3,3,1,1,4,4,3*
38706,6000,8,99.94,3,3,1,1,4,4,3*
38706,7000,8,100.00,3,3,1,1,4,4,3
38706,8000,8,100.00,3,3,1,1,4,4,3
38707,1000,ND,62.67,39*,558*,665*,"",1*,735*,1*
38707,2000,ND,90.60,1,1*,1*,372*,1*,1*,1*
38707,3000,ND,93.43,1,1*,1*,372*,1,1,1*
38707,4000,ND,98.26,1,1*,1,131*,1,1,1
38707,5000,1,99.29,1,1,1,1*,1,1,1
38707,6000,1,99.87,1,1,1,1*,1,1,1
38707,7000,1,99.94,1,1,1,1*,1,1,1
38707,8000,1,99.94,1,1,1,1*,1,1,1
38708,1000,ND,72.37,3*,496*,857*,1*,499*,368*,3*
38708,2000,ND,92.59,3*,3*,1,1*,708*,4*,420*
38708,3000,6719,97.52,3*,3*,1,1,4*,4*,904*
38708,4000,8,99.26,3*,3,1,1,4*,4*,3*
38708,5000,8,99.48,3,3,1,1,4,4*,3*
38708,6000,8,99.77,3,3,1,1,4,4,3*
38708,7000,8,99.90,3,3,1,1,4,4,3*
38708,8000,8,100.00,3,3,1,1,4,4,3
38709,1000,ND,88.06,877*,27*,750*,1*,4*,4*,691*
38709,2000,ND,97.33,377*,487*,1*,1,4,569,691*
38709,3000,ND,99.16,3*,3*,798,1,4,4*,3*
38709,4000,ND,99.71,3*,3*,798,1,4,4,3*
38709,5000,ND,99.90,3*,3,798,1,4,4,3*
38709,6000,8,99.94,3,3,1,1,4,4,3*
38709,7000,8,100.00,3,3,1,1,4,4,3
38709,8000,8,100.00,3,3,1,1,4,4,3
38710,1000,ND,67.50,90*,721*,328*,97*,824*,4*,3*
38710,2000,ND,92.02,3*,3*,636*,488*,4*,4*,3*
38710,3000,ND,94.88,3*,3*,636*,1*,4*,4*,3*
38710,4000,8,99.90,3,3,1,1,4,4*,3*
38710,5000,8,100.00,3,3,1,1,4,4,3
38710,6000,8,100.00,3,3,1,1,4,4,3
38710,7000,8,100.00,3,3,1,1,4,4,3
38710,8000,8,100.00,3,3,1,1,4,4,3
38711,1000,ND,56.49,522*,40*,295*,6*,175*,797*,358*
38711,2000,ND,88.73,522*,40*,8*,6*,10*,837,358*
38711,3000,508,97.42,10*,40,8*,6,10,3,2*
38711,4000,508,99.61,10,40,8,6,10,3,2*
38711,5000,508,99.61,10,40,8,6,10,3,2*
38711,6000,508,99.97,10,40,8,6,10,3,2*
38711,7000,508,100.00,10,40,8,6,10,3,2
38711,8000,508,100.00,10,40,8,6,10,3,2
38712,1000,ND,68.71,864*,898*,8*,486*,10*,458*,493*
38712,2000,ND,86.38,552*,40*,8*,486*,10*,3,2
38712,3000,ND,95.33,552*,40*,8*,217*,10*,3,2
38712,4000,508,98.39,10*,40,8,6*,10*,3,2
38712,5000,508,99.81,10*,40,8,6,10*,3,2
38712,6000,508,99.94,10*,40,8,6,10*,3,2
38712,7000,508,100.00,10,40,8,6,10,3,2
38712,8000,508,100.00,10,40,8,6,10,3,2
38713,1000,ND,86.90,471*,958*,175*,493*,1*,409,164*
38713,2000,ND,95.85,1*,958*,1*,615*,1*,1,1
38713,3000,1814,98.04,1*,1*,1*,146*,1,1,1
38713,4000,1,99.23,1,1*,1*,1*,1,1,1
38713,5000,1,99.39,1,1*,1*,1*,1,1,1
38713,6000,1,99.81,1,1*,1,1,1,1,1
38713,7000,1,100.00,1,1,1,1,1,1,1
38713,8000,1,100.00,1,1,1,1,1,1,1
38714,1000,ND,67.00,377*,27*,"",177*,460*,310*,10*
38714,2000,ND,96.75,3*,27*,639*,1*,1*,1*,10*
38714,3000,109,99.61,3*,27,1,1,1,1*,10*
38714,4000,109,99.84,3,27,1,1,1,1*,10
38714,5000,109,100.00,3,27,1,1,1,1,10
38714,6000,109,100.00,3,27,1,1,1,1,10
38714,7000,109,100.00,3,27,1,1,1,1,10
38714,8000,109,100.00,3,27,1,1,1,1,10
38715,1000,ND,35.56,46*,668*,459*,169*,94*,926*,""
38715,2000,ND,88.18,3*,27*,1,1*,1*,355*,953*
38715,3000,ND,98.04,3*,27*,1,1*,1,355*,10*
38715,4000,ND,99.77,3,27*,1,1,1,355*,10*
38715,5000,ND,99.90,3,27,1,1,1,355*,10
38715,6000,109,99.90,3,27,1,1,1,1*,10
38715,7000,109,100.00,3,27,1,1,1,1,10
38715,8000,109,100.00,3,27,1,1,1,1,10
38716,1000,ND,79.89,2*,2*,702*,422*,626*,3*,2*
38716,2000,30,97.88,2,2*,2*,2,6*,3*,2*
38716,3000,30,99.61,2,2,2*,2,6*,3,2*
38716,4000,30,100.00,2,2,2,2,6,3,2
38716,5000,30,100.00,2,2,2,2,6,3,2
38716,6000,30,100.00,2,2,2,2,6,3,2
38716,7000,30,100.00,2,2,2,2,6,3,2
38716,8000,30,100.00,2,2,2,2,6,3,2
38717,1000,ND,56.70,373*,281*,882*,6*,898*,3*,561*
38717,2000,1602,89.41,10*,231*,8*,6*,10*,3*,2*
38717,3000,1602,97.07,10*,231*,8*,6,10*,3*,2*
38717,4000,45,99.20,10,14*,8*,6,10*,3,2
38717,5000,45,99.71,10,14*,8,6,10,3,2
38717,6000,45,100.00,10,14,8,6,10,3,2
38717,7000,45,100.00,10,14,8,6,10,3,2
38717,8000,45,100.00,10,14,8,6,10,3,2
38718,1000,ND,56.60,412*,257*,313*,8*,508*,5*,6*
38718,2000,ND,77.00,802*,778*,876*,8*,508*,5,767*
38718,3000,12,98.58,1*,3*,1*,8*,11*,5,11*
38718,4000,12,99.61,1*,3*,1*,8*,11,5,11
38718,5000,12,99.87,1*,3*,1,8,11,5,11
38718,6000,12,100.00,1,3,1,8,11,5,11
38718,7000,12,100.00,1,3,1,8,11,5,11
38718,8000,12,100.00,1,3,1,8,11,5,11
38719,1000,ND,78.90,13*,245*,387*,485*,585*,11*,1053*
38719,2000,ND,95.37,13*,13*,387*,1*,552*,11*,1053*
38719,3000,ND,97.17,13*,13*,387*,1,552*,11*,13*
38719,4000,ND,99.04,13,13*,87*,1,12,11*,13
38719,5000,15,99.90,13,13*,1,1,12,11,13
38719,6000,15,100.00,13,13,1,1,12,11,13
38719,7000,15,100.00,13,13,1,1,12,11,13
38719,8000,15,100.00,13,13,1,1,12,11,13
38720,1000,ND,82.15,111*,2*,103*,2*,6*,419*,930*
38720,2000,ND,95.62,686*,2,2*,2*,6*,90*,1045*
38720,3000,ND,99.32,2*,2,2,2*,6*,90*,2*
38720,4000,30,99.94,2,2,2,2*,6,3*,2
38720,5000,30,100.00,2,2,2,2,6,3,2
38720,6000,30,100.00,2,2,2,2,6,3,2
38720,7000,30,100.00,2,2,2,2,6,3,2
38720,8000,30,100.00,2,2,2,2,6,3,2
38721,1000,ND,76.46,2*,1123*,653*,2*,411*,3*,987*
38721,2000,ND,87.41,2*,1123*,2*,2*,6*,3*,987*
38721,3000,ND,89.79,2,91*,2*,2*,6*,3,987*
38721,4000,2897,99.16,2,430,2,2*,6,3,2*
38721,5000,30,99.61,2,2,2,2,6,3,2*
38721,6000,30,99.81,2,2,2,2,6,3,2*
38721,7000,30,100.00,2,2,2,2,6,3,2
38721,8000,30,100.00,2,2,2,2,6,3,2
38722,1000,ND,70.54,931*,2*,71*,2*,1000*,307*,730*
38722,2000,8118,95.30,931,2*,2*,2*,6*,3,2*
38722,3000,8118,99.29,931,2*,2*,2*,6*,3,2*
38722,4000,8118,100.00,931,2,2,2,6,3,2
38722,5000,8118,100.00,931,2,2,2,6,3,2
38722,6000,8118,100.00,931,2,2,2,6,3,2
38722,7000,8118,100.00,931,2,2,2,6,3,2
38722,8000,8118,100.00,931,2,2,2,6,3,2
38723,1000,ND,88.42,2*,2*,103*,187*,6*,249*,2*
38723,2000,ND,98.74,2,2,2*,675*,6,3*,959*
38723,3000,ND,99.94,2,2,2,675,6,3,2*
38723,4000,ND,100.00,2,2,2,675,6,3,2
38723,5000,30,100.00,2,2,2,2,6,3,2
38723,6000,30,100.00,2,2,2,2,6,3,2
38723,7000,30,100.00,2,2,2,2,6,3,2
38723,8000,30,100.00,2,2,2,2,6,3,2
38724,1000,ND,79.72,10*,14*,8*,6*,10*,3*,253*
38724,2000,4656,89.41,10,14*,8*,6*,10*,3,624*
38724,3000,45,99.03,10,14*,8,6*,10,3,2*
38724,4000,45,99.94,10,14,8,6*,10,3,2
38724,5000,45,100.00,10,14,8,6,10,3,2
38724,6000,45,100.00,10,14,8,6,10,3,2
38724,7000,45,100.00,10,14,8,6,10,3,2
38724,8000,45,100.00,10,14,8,6,10,3,2
38725,1000,ND,79.27,425*,2*,2*,2*,791*,2*,2*
38725,2000,3725,93.92,441*,2*,2*,2*,6*,3*,2
38725,3000,30,98.94,2*,2,2*,2*,6,3,2
38725,4000,30,99.45,2,2,2*,2*,6,3,2
38725,5000,30,100.00,2,2,2,2,6,3,2
38725,6000,30,100.00,2,2,2,2,6,3,2
38725,7000,30,100.00,2,2,2,2,6,3,2
38725,8000,30,100.00,2,2,2,2,6,3,2
38726,1000,ND,67.05,910*,816*,2*,"",6*,662*,2*
38726,2000,ND,92.37,2*,2,2,278*,6*,3*,2*
38726,3000,6042,96.72,2*,2,2,479*,6*,3*,2*
38726,4000,30,99.26,2*,2,2,2*,6,3,2
38726,5000,30,99.97,2,2,2,2*,6,3,2
38726,6000,30,100.00,2,2,2,2,6,3,2
38726,7000,30,100.00,2,2,2,2,6,3,2
38726,8000,30,100.00,2,2,2,2,6,3,2
38727,1000,ND,71.57,942*,13*,1*,355*,68*,11*,467*
38727,2000,ND,85.22,942*,13,1,355*,12*,11*,1066*
38727,3000,ND,92.14,942*,13,1,1*,12,11,13*
38727,4000,15,98.65,13*,13,1,1,12,11,13
38727,5000,15,99.03,13*,13,1,1,12,11,13
38727,6000,6763,99.94,794*,13,1,1,12,11,13
38727,7000,6763,99.94,794*,13,1,1,12,11,13
38727,8000,15,100.00,13,13,1,1,12,11,13
38728,1000,ND,77.64,655*,13*,1008*,1*,16*,367*,118*
38728,2000,169,98.52,13,13,1*,1*,16*,11,13*
38728,3000,15,99.48,13,13,1,1,12*,11,13
38728,4000,15,99.58,13,13,1,1,12*,11,13
38728,5000,15,99.71,13,13,1,1,12*,11,13
38728,6000,15,100.00,13,13,1,1,12,11,13
38728,7000,15,100.00,13,13,1,1,12,11,13
38728,8000,15,100.00,13,13,1,1,12,11,13
38729,1000,ND,86.00,655*,245*,110*,1*,42*,11*,13*
38729,2000,ND,93.53,655*,599*,1*,1*,12*,11*,13*
38729,3000,5510,99.39,655,13*,1,1*,12,11,13
38729,4000,15,99.77,13,13*,1,1*,12,11,13
38729,5000,15,99.97,13,13,1,1*,12,11,13
38729,6000,15,100.00,13,13,1,1,12,11,13
38729,7000,15,100.00,13,13,1,1,12,11,13
38729,8000,15,100.00,13,13,1,1,12,11,13
38730,1000,ND,71.18,710*,472*,1*,1*,662*,11*,13*
38730,2000,ND,94.69,13*,472*,983,1*,12*,11*,13*
38730,3000,4346,98.23,13*,472*,1,1,12*,11*,13*
38730,4000,15,99.68,13,13*,1,1,12,11,13*
38730,5000,15,99.97,13,13*,1,1,12,11,13
38730,6000,15,100.00,13,13,1,1,12,11,13
38730,7000,15,100.00,13,13,1,1,12,11,13
38730,8000,15,100.00,13,13,1,1,12,11,13
38731,1000,ND,70.67,13*,13*,240*,92*,12*,112*,13*
38731,2000,ND,88.66,13,13*,180*,1*,12*,11*,13*
38731,3000,ND,98.45,13,13*,180*,1,12*,11,13*
38731,4000,ND,99.07,13,850*,512*,1,12,11,13*
38731,5000,ND,99.65,13,850*,512,1,12,11,13*
38731,6000,15,99.74,13,13*,1,1,12,11,13*
38731,7000,15,99.97,13,13,1,1,12,11,13*
38731,8000,15,100.00,13,13,1,1,12,11,13
38732,1000,ND,60.27,844*,877*,777*,617*,6*,3*,94*
38732,2000,ND,88.86,65*,2*,2*,2*,6,3*,646*
38732,3000,30,95.91,2*,2*,2,2*,6,3,2*
38732,4000,30,97.59,2*,2,2,2,6,3,2*
38732,5000,30,98.04,2,2,2,2,6,3,2*
38732,6000,30,98.04,2,2,2,2,6,3,2*
38732,7000,30,98.07,2,2,2,2,6,3,2*
38732,8000,30,98.07,2,2,2,2,6,3,2*
38733,1000,ND,65.69,162*,52*,2*,513*,6*,215*,569*
38733,2000,ND,88.99,685*,2*,142*,2*,6*,215*,1111*
38733,3000,5742,95.46,685*,2*,2*,2*,6,3*,2*
38733,4000,ND,97.65,162*,2,2*,2,6,3*,2*
38733,5000,30,97.94,2,2,2,2,6,3*,2*
38733,6000,30,98.00,2,2,2,2,6,3,2*
38733,7000,30,98.04,2,2,2,2,6,3,2*
38733,8000,30,98.04,2,2,2,2,6,3,2*
38734,1000,ND,72.85,60*,714*,20*,4*,12*,1*,992*
38734,2000,8379,95.69,862*,4*,1*,4*,12*,1,10*
38734,3000,8379,98.33,862*,4*,1,4,12*,1,10*
38734,4000,8379,98.68,862*,4,1,4,12,1,10*
38734,5000,8379,98.91,862*,4,1,4,12,1,10*
38734,6000,5,98.97,1,4,1,4,12,1,10*
38734,7000,5,98.97,1,4,1,4,12,1,10*
38734,8000,5,99.03,1,4,1,4,12,1,10*
38735,1000,ND,78.15,2*,419*,161*,612*,6*,937*,789*
38735,2000,5886,93.75,2*,2*,2*,2*,6*,3*,789*
38735,3000,5886,95.56,2*,2,2*,2*,6,3*,789*
38735,4000,ND,96.97,2,2,2*,2,6,3,213*
38735,5000,ND,96.97,2,2,2*,2,6,3,213*
38735,6000,ND,97.23,2,2,2*,2,6,3,213*
38735,7000,ND,97.33,2,2,2,2,6,3,213*
38735,8000,ND,97.33,2,2,2,2,6,3,213*
38736,1000,ND,75.34,595*,13*,1*,113*,12*,11*,13*
38736,2000,ND,86.83,595*,13*,1*,503*,12,11*,13*
38736,3000,ND,94.40,336*,13*,1,14*,12,11,13*
38736,4000,ND,96.20,13*,13,1,14*,12,11,13*
38736,5000,15,97.33,13*,13,1,1*,12,11,13*
38736,6000,15,97.52,13*,13,1,1*,12,11,13*
38736,7000,15,97.78,13,13,1,1*,12,11,13*
38736,8000,15,97.78,13,13,1,1*,12,11,13*
38737,1000,ND,67.97,585*,23*,15*,312*,314*,111*,567*
38737,2000,ND,90.86,19*,23*,15*,2*,19*,20*,567*
38737,3000,7163,95.78,19,23*,15*,2,19,20*,943*
38737,4000,7163,96.52,19,23*,15*,2,19,20*,943*
38737,5000,7163,97.33,19,23*,15,2,19,20,943*
38737,6000,7163,97.68,19,23*,15,2,19,20,943*
38737,7000,7163,97.71,19,23,15,2,19,20,943*
38737,8000,7163,97.71,19,23,15,2,19,20,943*
38738,1000,ND,72.15,641*,23*,15*,2*,19*,386*,15*
38738,2000,6320,92.34,750*,23*,15,2*,19*,20*,15*
38738,3000,59,97.65,19*,23,15,2,19*,20*,15*
38738,4000,59,98.42,19,23,15,2,19,20,15*
38738,5000,59,98.42,19,23,15,2,19,20,15*
38738,6000,59,98.42,19,23,15,2,19,20,15*
38738,7000,59,98.42,19,23,15,2,19,20,15*
38738,8000,59,98.42,19,23,15,2,19,20,15*
38739,1000,ND,60.66,19*,23*,1003*,241*,314*,905*,15*
38739,2000,2844,88.89,19*,23*,15*,2*,314*,20*,15*
38739,3000,59,96.33,19*,23,15*,2,19*,20*,15*
38739,4000,59,97.13,19,23,15*,2,19,20*,15*
38739,5000,59,97.46,19,23,15*,2,19,20,15*
38739,6000,59,97.55,19,23,15,2,19,20,15*
38739,7000,59,97.55,19,23,15,2,19,20,15*
38739,8000,59,97.55,19,23,15,2,19,20,15*
38740,1000,ND,62.23,170*,904*,15*,323*,19*,20*,376*
38740,2000,ND,78.33,170*,904*,15,417*,19*,20*,376*
38740,3000,ND,92.72,19*,23*,15,417*,19,20,898*
38740,4000,ND,95.59,19*,23*,15,2,19,20,730*
38740,5000,59,97.39,19,23,15,2,19,20,15*
38740,6000,59,97.39,19,23,15,2,19,20,15*
38740,7000,59,97.39,19,23,15,2,19,20,15*
38740,8000,59,97.39,19,23,15,2,19,20,15*
38741,1000,ND,76.95,994*,710*,515*,4*,12*,1*,151*
38741,2000,ND,94.46,136*,4*,695*,4,12*,1*,10*
38741,3000,5,98.49,1,4*,1*,4,12*,1*,10*
38741,4000,5,99.58,1,4,1,4,12,1,10*
38741,5000,5,99.65,1,4,1,4,12,1,10*
38741,6000,5,99.65,1,4,1,4,12,1,10*
38741,7000,5,99.65,1,4,1,4,12,1,10*
38741,8000,5,99.65,1,4,1,4,12,1,10*
38742,1000,ND,53.81,19*,955*,11*,505*,41*,125*,506*
38742,2000,ND,86.56,137*,23*,1023*,505*,41*,396*,15*
38742,3000,ND,93.56,19*,23*,15*,505*,41*,396*,15
38742,4000,87,98.78,19*,23*,15,2*,41,20*,15
38742,5000,87,99.74,19*,23,15,2,41,20*,15
38742,6000,87,100.00,19,23,15,2,41,20,15
38742,7000,87,100.00,19,23,15,2,41,20,15
38742,8000,87,100.00,19,23,15,2,41,20,15
38743,1000,ND,74.67,296*,3*,"",370*,11,5*,11*
38743,2000,ND,84.13,1*,3*,"",8*,11,5,11*
38743,3000,ND,85.39,1,3,"",8*,11,5,11*
38743,4000,ND,94.27,1,3,65*,8*,11,5,11
38743,5000,ND,99.61,1,3,65*,8*,11,5,11
38743,6000,ND,99.84,1,3,798*,8*,11,5,11
38743,7000,ND,99.97,1,3,232,8*,11,5,11
38743,8000,12,99.97,1,3,1,8*,11,5,11
38744,1000,ND,71.67,1*,779*,335*,408*,11,5*,11*
38744,2000,ND,87.09,1*,659*,335*,408*,11,5*,11*
38744,3000,ND,98.26,1*,3*,1*,408*,11,5*,11
38744,4000,12,99.00,1*,3*,1*,8*,11,5*,11
38744,5000,12,99.87,1,3*,1,8,11,5,11
38744,6000,12,100.00,1,3,1,8,11,5,11
38744,7000,12,100.00,1,3,1,8,11,5,11
38744,8000,12,100.00,1,3,1,8,11,5,11
38745,1000,ND,68.83,975*,4*,712*,399*,12*,101*,17*
38745,2000,ND,85.64,1*,1105*,712*,512*,12*,101*,10*
38745,3000,7932,98.42,1*,1105*,1*,4*,12,1*,10*
38745,4000,5,99.36,1,4*,1*,4*,12,1,10
38745,5000,5,99.90,1,4,1*,4*,12,1,10
38745,6000,5,100.00,1,4,1,4,12,1,10
38745,7000,5,100.00,1,4,1,4,12,1,10
38745,8000,5,100.00,1,4,1,4,12,1,10
38746,1000,ND,67.41,4*,9*,502*,"",1*,10*,8*
38746,2000,ND,83.92,4,9*,334*,317*,1*,10*,8*
38746,3000,20,98.00,4,9,1,8*,1*,10*,8*
38746,4000,20,98.58,4,9,1,8*,1,10*,8
38746,5000,20,99.68,4,9,1,8,1,10*,8
38746,6000,20,99.97,4,9,1,8,1,10*,8
38746,7000,20,100.00,4,9,1,8,1,10,8
38746,8000,20,100.00,4,9,1,8,1,10,8
38747,1000,ND,65.29,19*,23*,79*,2*,41*,914*,104*
38747,2000,ND,80.04,19,23*,1003*,2*,41*,914*,951*
38747,3000,ND,95.49,19,23*,15*,2*,41*,288*,136*
38747,4000,ND,98.16,19,23,15*,2,41*,288*,578*
38747,5000,ND,99.39,19,23,15,2,41,20*,578*
38747,6000,87,100.00,19,23,15,2,41,20,15
38747,7000,87,100.00,19,23,15,2,41,20,15
38747,8000,87,100.00,19,23,15,2,41,20,15
38748,1000,ND,75.11,1*,628*,811*,341*,184*,646*,10*
38748,2000,ND,94.66,1*,4*,811*,341*,12*,646*,10*
38748,3000,ND,97.78,1*,4*,811*,341*,12,646*,10*
38748,4000,ND,99.20,1*,4,1*,4*,12,646*,10*
38748,5000,ND,99.87,1*,4,1*,4*,12,646*,10
38748,6000,5,99.97,1,4,1*,4,12,1,10
38748,7000,5,100.00,1,4,1,4,12,1,10
38748,8000,5,100.00,1,4,1,4,12,1,10
38749,1000,ND,73.91,346*,487*,798*,1*,466*,93*,161*
38749,2000,ND,92.85,346*,3*,872*,1*,118*,4*,3*
38749,3000,ND,95.94,751*,3*,1,1*,118*,4*,3
38749,4000,2403,99.03,3*,3,1,1*,118*,4,3
38749,5000,8,99.77,3*,3,1,1,4,4,3
38749,6000,8,100.00,3,3,1,1,4,4,3
38749,7000,8,100.00,3,3,1,1,4,4,3
38749,8000,8,100.00,3,3,1,1,4,4,3
38750,1000,ND,70.03,13*,13*,258*,"",12*,11*,13*
38750,2000,ND,87.72,13*,13*,258*,53*,12*,11*,13*
38750,3000,ND,97.78,13*,13*,258*,53*,12,11,13*
38750,4000,5780,98.94,13*,13*,258*,1,12,11,13
38750,5000,5780,99.97,13,13*,258,1,12,11,13
38750,6000,5780,100.00,13,13,258,1,12,11,13
38750,7000,5780,100.00,13,13,258,1,12,11,13
38750,8000,5780,100.00,13,13,258,1,12,11,13
38751,1000,ND,71.95,616*,37*,571*,27*,580*,816*,32*
38751,2000,ND,89.17,3*,37*,979,2*,20*,938*,32*
38751,3000,8113,99.42,3,37*,979,2,20*,26,32*
38751,4000,8113,99.84,3,37,979,2,20,26,32*
38751,5000,8113,100.00,3,37,979,2,20,26,32
38751,6000,8113,100.00,3,37,979,2,20,26,32
38751,7000,8113,100.00,3,37,979,2,20,26,32
38751,8000,8113,100.00,3,37,979,2,20,26,32
38752,1000,ND,81.89,178*,185*,798*,260*,4*,4*,3*
38752,2000,ND,95.85,178*,3*,798*,1*,4*,4*,3*
38752,3000,ND,98.42,3*,3,423*,1,4*,4*,3*
38752,4000,ND,99.36,6,3,423*,1,4*,4,3*
38752,5000,ND,99.65,6,3,355*,1,4,4,3*
38752,6000,8,100.00,3,3,1,1,4,4,3
38752,7000,8,100.00,3,3,1,1,4,4,3
38752,8000,8,100.00,3,3,1,1,4,4,3
38753,1000,ND,67.06,124*,551*,345*,659*,111*,4*,312*
38753,2000,2660,92.08,3*,3*,1*,1*,4*,4,312*
38753,3000,8,98.29,3,3*,1,1*,4*,4,3*
38753,4000,8,99.42,3,3*,1,1,4,4,3*
38753,5000,8,99.77,3,3,1,1,4,4,3*
38753,6000,8,99.81,3,3,1,1,4,4,3*
38753,7000,8,99.94,3,3,1,1,4,4,3*
38753,8000,8,100.00,3,3,1,1,4,4,3
38754,1000,ND,50.91,528*,1153*,"",1*,337*,36*,458*
38754,2000,ND,91.11,3,3*,1*,1*,50*,4*,3*
38754,3000,8,97.97,3,3*,1*,1*,4*,4*,3
38754,4000,8,99.90,3,3,1,1*,4,4,3
38754,5000,8,100.00,3,3,1,1,4,4,3
38754,6000,8,100.00,3,3,1,1,4,4,3
38754,7000,8,100.00,3,3,1,1,4,4,3
38754,8000,8,100.00,3,3,1,1,4,4,3
38755,1000,ND,83.15,3*,23*,830*,2*,695*,158*,15*
38755,2000,6634,96.46,19*,23,830*,2,19*,20*,15
38755,3000,59,98.33,19*,23,15*,2,19*,20,15
38755,4000,59,99.81,19,23,15,2,19*,20,15
38755,5000,59,100.00,19,23,15,2,19,20,15
38755,6000,59,100.00,19,23,15,2,19,20,15
38755,7000,59,100.00,19,23,15,2,19,20,15
38755,8000,59,100.00,19,23,15,2,19,20,15
38756,1000,ND,69.38,22*,1*,91*,509*,507*,703*,31*
38756,2000,ND,94.91,22*,1,14*,509*,12*,4*,31*
38756,3000,88,98.29,22,1,14*,23*,12,4*,31*
38756,4000,88,99.23,22,1,14*,23*,12,4*,31*
38756,5000,88,99.77,22,1,14*,23,12,4,31*
38756,6000,88,99.90,22,1,14,23,12,4,31*
38756,7000,88,99.94,22,1,14,23,12,4,31*
38756,8000,88,99.94,22,1,14,23,12,4,31*
38757,1000,ND,71.45,147*,1*,845*,482*,11*,43*,413*
38757,2000,ND,96.17,3*,1,14*,15,11*,43*,148*
38757,3000,106,98.39,3*,1,14,15,11*,43*,3*
38757,4000,106,99.45,3*,1,14,15,11*,43*,3*
38757,5000,106,99.90,3*,1,14,15,11,43,3*
38757,6000,106,99.97,3,1,14,15,11,43,3*
38757,7000,106,99.97,3,1,14,15,11,43,3*
38757,8000,106,100.00,3,1,14,15,11,43,3
38758,1000,ND,82.74,19*,23*,1007*,2*,57*,20*,506*
38758,2000,87,92.34,19*,23*,15*,2*,41,20*,15*
38758,3000,ND,94.30,19*,133*,15*,2,41,20*,15
38758,4000,87,98.16,19*,23*,15,2,41,20,15
38758,5000,87,99.97,19*,23,15,2,41,20,15
38758,6000,87,99.97,19*,23,15,2,41,20,15
38758,7000,87,100.00,19,23,15,2,41,20,15
38758,8000,87,100.00,19,23,15,2,41,20,15
38759,1000,ND,84.26,717*,4*,1*,382*,119*,22*,346*
38759,2000,965,97.59,1*,4,1,4*,119*,1*,10*
38759,3000,5,99.61,1,4,1,4,12*,1*,10
38759,4000,5,99.87,1,4,1,4,12,1*,10
38759,5000,5,99.94,1,4,1,4,12,1*,10
38759,6000,5,100.00,1,4,1,4,12,1,10
38759,7000,5,100.00,1,4,1,4,12,1,10
38759,8000,5,100.00,1,4,1,4,12,1,10
38760,1000,ND,75.36,19*,23*,15*,95*,836*,20*,1088*
38760,2000,ND,95.27,19*,23*,15,95*,41*,20*,1088*
38760,3000,ND,97.62,19,23*,15,2,41*,20,1088*
38760,4000,ND,97.91,19,23,15,2,41,20,1088*
38760,5000,87,98.04,19,23,15,2,41,20,15*
38760,6000,87,98.04,19,23,15,2,41,20,15*
38760,7000,ND,98.10,19,23,15,2,41,20,526*
38760,8000,ND,98.20,19,23,15,2,41,20,526*
38761,1000,ND,67.16,4*,28*,4*,1*,587*,228*,4*
38761,2000,8120,89.12,4*,1*,980*,1*,5*,5*,4*
38761,3000,8120,98.07,4*,1*,980*,1,5*,5*,4
38761,4000,8120,99.20,4,1*,980*,1,5,5*,4
38761,5000,8120,100.00,4,1,980,1,5,5,4
38761,6000,8120,100.00,4,1,980,1,5,5,4
38761,7000,8120,100.00,4,1,980,1,5,5,4
38761,8000,8120,100.00,4,1,980,1,5,5,4
38762,1000,ND,79.16,19,970*,15*,2*,19*,347*,""
38762,2000,59,97.39,19,23*,15,2*,19*,20,15*
38762,3000,59,99.20,19,23,15,2*,19*,20,15*
38762,4000,59,99.94,19,23,15,2,19,20,15*
38762,5000,59,100.00,19,23,15,2,19,20,15
38762,6000,59,100.00,19,23,15,2,19,20,15
38762,7000,59,100.00,19,23,15,2,19,20,15
38762,8000,59,100.00,19,23,15,2,19,20,15
38763,1000,ND,77.08,4*,1*,4*,1*,384*,5*,4*
38763,2000,25,95.01,4*,1*,4,1*,5*,5*,4
38763,3000,25,98.42,4,1,4,1*,5*,5,4
38763,4000,25,99.94,4,1,4,1*,5,5,4
38763,5000,25,99.94,4,1,4,1*,5,5,4
38763,6000,25,100.00,4,1,4,1,5,5,4
38763,7000,25,100.00,4,1,4,1,5,5,4
38763,8000,25,100.00,4,1,4,1,5,5,4
38764,1000,ND,71.70,902*,5*,11*,2*,278*,7*,5*
38764,2000,7870,93.66,902*,5*,6*,2,7*,7,5*
