reads,sketch_id,shared_hashes,mlst,meca,pvl,scc,clindamycin,rifampicin,ciprofloxacin,vancomycin,tetracycline,mupirocin,gentamicin,trimethoprim,penicillin,methicillin,erythromycin,fusidicacid,pubmlst_id,resolution
8000,-,-,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38744,1k
1000,-,-,ST5,MRSA,PVL*,-,S,S,R,S,S,S,S,S,R,R,S,S,38745,1k
2000,-,-,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38745,1k
3000,-,-,ST5,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,R,S,38745,1k
4000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,38745,1k
5000,-,-,ST5,MRSA,PVL*,-,S,S,S,S,S,S,S,S,R,R,S,S,38745,1k
6000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38745,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,38745,1k
8000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,38745,1k
1000,-,-,ST20,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38746,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38746,1k
3000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38746,1k
4000,-,-,ST8,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,38746,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38746,1k
6000,-,-,ST80,MRSA,PVL*,-,S,S,S,S,S,S,S,S,R,R,S,S,38746,1k
7000,-,-,ST80,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,38746,1k
8000,-,-,ST239,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,38746,1k
1000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38747,1k
2000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38747,1k
3000,-,-,ST87,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38747,1k
4000,-,-,ST87,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38747,1k
5000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38747,1k
6000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38747,1k
7000,-,-,ST59,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38747,1k
8000,-,-,ST1,MRSA,PVL*,SCCmec-IV,R,S,S,S,R,S,S,S,R,R,R,S,38747,1k
1000,-,-,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38748,1k
2000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,38748,1k
3000,-,-,ST5,MRSA,PVL*,SCCmec-I,R,S,S,S,S,S,S,S,R,R,R,S,38748,1k
4000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,38748,1k
5000,-,-,ST5,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,38748,1k
6000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,S,S,S,S,S,S,R,R,R,S,38748,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,38748,1k
8000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,R,R,S,S,S,S,S,R,R,R,S,38748,1k
1000,-,-,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,38749,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38749,1k
3000,-,-,ST8,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38749,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,R,S,38749,1k
5000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38749,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38749,1k
7000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38749,1k
8000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38749,1k
1000,-,-,ST15,MSSA,PVL*,-,S,S,S,S,R,S,S,S,R,S,S,S,38750,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38750,1k
3000,-,-,ST1,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38750,1k
4000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38750,1k
5000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38750,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38750,1k
7000,-,-,ST8,MRSA,PVL*,-,S,S,S,S,S,S,S,S,R,R,S,S,38750,1k
8000,-,-,ST8,MRSA,PVL*,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,38750,1k
1000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,S,S,38751,1k
2000,-,-,ST398,MRSA,PVL-,-,R,S,S,S,R,S,S,S,R,R,R,S,38751,1k
3000,-,-,ST398,MRSA,PVL-,-,S,S,S,S,R,S,S,S,R,R,S,S,38751,1k
4000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,38751,1k
5000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,38751,1k
6000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,38751,1k
7000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,38751,1k
8000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,38751,1k
1000,-,-,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,38752,1k
2000,-,-,ST8,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,R,S,38752,1k
3000,-,-,ST8,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38752,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,R,S,38752,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38752,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38752,1k
7000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38752,1k
8000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38752,1k
1000,-,-,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,38753,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38753,1k
3000,-,-,ST8,MRSA,PVL*,-,R,S,R,S,S,S,S,S,R,R,R,S,38753,1k
4000,-,-,ST8,MRSA,PVL*,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,38753,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38753,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38753,1k
7000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38753,1k
8000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38753,1k
1000,-,-,ST8,MRSA,PVL+,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,R,S,38754,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38754,1k
3000,-,-,ST8,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38754,1k
4000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38754,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38754,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38754,1k
7000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38754,1k
8000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38754,1k
1000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38755,1k
2000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38755,1k
3000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38755,1k
4000,-,-,ST87,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38755,1k
5000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38755,1k
6000,-,-,ST133,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,38755,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,38755,1k
8000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,S,S,S,S,S,S,R,R,R,S,38755,1k
1000,-,-,ST88,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38756,1k
2000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38756,1k
3000,-,-,ST15,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38756,1k
4000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38756,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38756,1k
6000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38756,1k
7000,-,-,ST149,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,R,S,38756,1k
8000,-,-,ST8,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,38756,1k
1000,-,-,ST101,MSSA,PVL*,-,S,S,S,S,S,S,S,S,S,S,S,S,38757,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38757,1k
3000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38757,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38757,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38757,1k
6000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38757,1k
7000,-,-,ST239,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,38757,1k
8000,-,-,ST80,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,38757,1k
1000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38758,1k
2000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38758,1k
3000,-,-,ST87,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38758,1k
4000,-,-,ST87,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38758,1k
5000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38758,1k
6000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,38758,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,38758,1k
8000,-,-,ST3338,MRSA,PVL*,Vc,R,S,S,S,R,S,S,S,R,R,R,S,38758,1k
1000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,38759,1k
2000,-,-,ST228,MRSA,PVL*,SCCmec-I,R,S,R,S,S,S,R,S,R,R,R,S,38759,1k
3000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,S,S,S,S,S,S,R,R,R,R,38759,1k
4000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,S,S,S,S,S,S,R,R,S,S,38759,1k
5000,-,-,ST5,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,38759,1k
6000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38759,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38759,1k
8000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,R,S,S,S,R,R,R,R,38759,1k
1000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38760,1k
2000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38760,1k
3000,-,-,ST87,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38760,1k
4000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38760,1k
5000,-,-,ST87,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38760,1k
6000,-,-,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38760,1k
7000,-,-,ST59,MRSA,PVL-,-,S,S,S,S,S,S,S,S,R,R,S,S,38760,1k
8000,-,-,ST22,MRSA,PVL-,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,R,38760,1k
1000,-,-,ST25,MSSA,PVL*,-,R,S,S,S,S,S,S,R,R,S,R,S,38761,1k
2000,-,-,ST72,MRSA,PVL*,-,S,S,S,S,S,S,S,S,R,R,S,S,38761,1k
3000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38761,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38761,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38761,1k
6000,-,-,ST1,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38761,1k
7000,-,-,ST239,MRSA,PVL*,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,38761,1k
8000,-,-,ST239,MRSA,PVL*,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,38761,1k
1000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38762,1k
2000,-,-,ST59,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38762,1k
3000,-,-,ST87,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38762,1k
4000,-,-,ST87,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38762,1k
5000,-,-,ST87,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,38762,1k
6000,-,-,ST2430,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38762,1k
7000,-,-,ST22,MRSA,PVL-,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,38762,1k
8000,-,-,ST22,MRSA,PVL-,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,38762,1k
1000,-,-,ST25,MRSA,PVL*,SCCmec-III,R,S,S,S,R,S,S,R,R,R,R,S,38763,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38763,1k
3000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38763,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38763,1k
5000,-,-,ST8,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,38763,1k
6000,-,-,ST8,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38763,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38763,1k
8000,-,-,ST22,MRSA,PVL*,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,38763,1k
1000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,38764,1k
2000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,38764,1k
3000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,38764,1k
4000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,38764,1k
5000,-,-,ST51,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,38764,1k
6000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,S,R,S,S,S,38764,1k
7000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,38764,1k
8000,-,-,ST123,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,r,38764,1k
1000,-,-,ST15,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38765,1k
2000,-,-,ST15,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38765,1k
3000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38765,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38765,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38765,1k
6000,-,-,ST8,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,R,S,38765,1k
7000,-,-,ST8,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,R,S,38765,1k
8000,-,-,ST8,MRSA,PVL*,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,38765,1k
1000,-,-,ST15,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38766,1k
2000,-,-,ST15,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38766,1k
3000,-,-,ST15,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38766,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38766,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38766,1k
6000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38766,1k
7000,-,-,ST8,MRSA,PVL*,-,R,S,S,S,S,S,S,S,R,R,R,S,38766,1k
8000,-,-,ST8,MRSA,PVL*,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,38766,1k
1000,-,-,ST97,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38767,1k
2000,-,-,ST97,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38767,1k
3000,-,-,ST97,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38767,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38767,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38767,1k
6000,-,-,ST97,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38767,1k
7000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,R,S,S,S,S,S,S,R,R,R,S,38767,1k
8000,-,-,ST149,MRSA,PVL*,SCCmec-IV,R,S,R,S,S,S,S,S,R,R,R,S,38767,1k
1000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38768,1k
2000,-,-,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38768,1k
3000,-,-,ST5,MRSA,PVL*,SCCmec-I,R,S,S,S,S,S,S,S,R,R,R,S,38768,1k
4000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,R,38768,1k
5000,-,-,ST5,MRSA,PVL*,-,S,S,S,S,S,S,S,S,R,R,S,S,38768,1k
6000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38768,1k
7000,-,-,ST5,MRSA,PVL*,-,S,S,S,S,S,S,S,S,R,R,S,S,38768,1k
8000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,R,S,S,S,S,S,S,R,R,R,S,38768,1k
1000,-,-,ST582,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38769,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38769,1k
3000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38769,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38769,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38769,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38769,1k
7000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38769,1k
8000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38769,1k
1000,-,-,ST30,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38770,1k
2000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38770,1k
3000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38770,1k
4000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38770,1k
5000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38770,1k
6000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38770,1k
7000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38770,1k
8000,-,-,ST30,MRSA,PVL-,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,38770,1k
1000,-,-,ST8,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,38771,1k
2000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38771,1k
3000,-,-,ST8,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38771,1k
4000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38771,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38771,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38771,1k
7000,-,-,ST8,MSSA,PVL*,-,R,S,S,S,S,S,S,S,R,S,R,S,38771,1k
8000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38771,1k
1000,-,-,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38772,1k
2000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38772,1k
3000,-,-,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38772,1k
4000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38772,1k
5000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38772,1k
6000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38772,1k
7000,-,-,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,38772,1k
8000,-,-,ST30,MRSA,PVL-,-,R,S,S,S,S,S,S,S,R,R,R,S,38772,1k
1000,-,-,ST72,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,38773,1k
2000,-,-,ST72,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38773,1k
3000,-,-,ST72,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38773,1k
4000,-,-,ST8,MRSA,PVL*,-,S,S,S,S,S,S,S,S,R,R,S,S,38773,1k
5000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38773,1k
6000,-,-,ST8,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38773,1k
7000,-,-,ST8,MRSA,PVL*,-,S,S,R,S,S,S,S,S,R,R,S,S,38773,1k
8000,-,-,ST22,MRSA,PVL-,SCCmec-IV,S,S,R,S,S,S,S,S,R,R,S,S,38773,1k
1000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,38774,1k
2000,-,-,ST51,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,38774,1k
3000,-,-,ST123,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,38774,1k
4000,-,-,ST123,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38774,1k
5000,-,-,ST123,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,38774,1k
6000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,38774,1k
7000,-,-,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,38774,1k
8000,-,-,ST123,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,r,38774,1k
1000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,38775,1k
2000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,38775,1k
3000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,38775,1k
4000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,38775,1k
5000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,S,R,R,R,S,38775,1k
6000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,38775,1k
7000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,38775,1k
8000,-,-,ST398,MRSA,PVL-,Vc,R,S,S,S,R,S,S,R,R,R,R,S,38775,1k
1000,-,-,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,38776,1k
2000,-,-,ST228,MRSA,PVL*,-,R,S,R,S,S,S,S,S,R,R,R,S,38776,1k
3000,-,-,ST5,MRSA,PVL*,SCCmec-I,R,S,S,S,S,S,S,S,R,R,R,S,38776,1k
